2 beat	1	A simple weave, with each poi doing one downbeat on opposite sides of the body	Try to keep the poi perpendicular to the floor and parallel to the sides of your body	As you get more comfortable, try to spin slower	It is encouraged to learn both the "left hand over" & "right hand over" variations (refer to video)	Dont be afraid to exaggerate your arm movements as much as possible so you dont hit yourself when the poi crosses to the other side (applies to all other weaves and n beat moves)	Drexfactor	https://youtu.be/hanrZuOio5c					3 beat	Buzzsaw		no video yet	Weaves
Sun Wrap	4	A combination of both hands doing bicep wraps on top of the arms	Your arms must be perpendicular to your body when performing bicep wraps can VB vn	Most of the movement comes from the wrists so focus on wrist movement			LilRaverBoi308	https://www.youtube.com/watch?v=EVEb5Qzpsmc					Bicep Wrap	Moon Wrap		https://www.youtube.com/embed/cyqUyPJNzYk	Wraps
Moon Wrap	4	A combination of both hands doing bicep wraps below the arms	Your arms must be perpendicular to your body when performing bicep wraps	Most of the movement comes from the wrists so focus on wrist movement			LilRaverBoi308	https://www.youtube.com/watch?v=EVEb5Qzpsmc					Bicep Wrap	Sun Wrap		https://www.youtube.com/embed/GLQ-6sW2EY8	Wraps
Crossers	4	A figure 8 drawn with crossed arms in wall plane	Both hands are each doing a two beat but are on opposite sides of the body	Each poi should alternate between being in front of your body and behind	Practice with one poi wrapped in your hand at a time		Drexfactor (Part 1)	https://www.youtube.com/watch?v=-a-Qs5g8Sq8	Drexfactor (Part 2)	https://www.youtube.com/watch?v=ZN2HdyXzJvs	Drexfactor (Part 3)	https://www.youtube.com/watch?v=27fWgqbgv5o	Crosser Extension			https://www.youtube.com/embed/d7nqk4yri9Q	Weaves
Inspins	4	A two petal flower where the direction of spin of the poi is the same as the movement of the arm	Both "spins" within the inspin should be on a cardinal. Keep the spins controlled!				Drexfactor	https://youtu.be/4_x8W5HQnbs					4 Petal Antispin			https://www.youtube.com/embed/gbs7rOfYqds	Flowers
Crosser Extension	5	Crossers, but with the front beats opened up (similar to vitruvian)	Both of your arms at some point should be full extended, with the other bent.	Each arm should alternate tracing the other arm			Alien Jon	https://www.youtube.com/watch?v=C_Mbmq3jFNg					Crossers			https://www.youtube.com/embed/yShTd17WasQ	Weaves
Triquetra	5	A 3 petal antispin flower hybrid with an extension	Draw an equilateral triangle with your hand and make sure to accentuate the top petal	Focus on always having equidistance from your belly button to either bottom petal. At first, it will result in smaller triquetras, but when you are more comfortable you can increase the size of the pattern.			Drexfactor	https://www.youtube.com/watch?v=ffKbIDxbxdk								https://www.youtube.com/embed/fy_5cj2W7s8	Flowers
4 Petal Antispin	5	A 4 petal antispin flower that hits each cardinal direction	The most important part of this move is to make sure that each cardinal direction is properly aligned	It may help to practice in front of a mirror	4 petal antispins have 3 downbeats, similar to how a triquetra has 2 downbeats. You should be able to count 3 times when the poi head points downwards		Drexfactor	https://www.youtube.com/watch?v=Wp5XkJ3vxQQ								https://www.youtube.com/embed/lHOxPvzXEdo	Flowers
4x4 Antispin Fountain	5	A fountain similar to a regular 4x4 fountain but backward	There is only one beat for each hand per cardinal direction	imagine alternating between forward and reverse 2 beat weaves, except you change the levels of your hands 	If your doing this move correctly your hands will alternate between right and left on top when you pass through the middle 		Playpoi	https://www.youtube.com/watch?v=oy25T6cJDY0					Fountain	4 Petal Antispin		https://www.youtube.com/embed/uDEmyekcWPg	Weaves
C Caps	5	A combination of half an antispin and an extension	Pretend you are only doing half of an antispin and do an extension back to where your hand started	Bend your arms slightly 			Drexfactor	https://www.youtube.com/watch?v=vHS_W2BLri8					4 Petal Antispin			https://www.youtube.com/embed/HLtDoWLTeC4	Flowers
The G	5	A body tracer combining parts of a snake and an extension	This hard part of this move is the same as the movement for a snake. If you are having trouble with this move, try learning the snake first.	Each hand should be alternating cycles (one hand tucks in front of you while the other tucks behind you)			Drexfactor	https://www.youtube.com/watch?v=cDcysRoBkP8					Snake			https://www.youtube.com/embed/63SKPRbqmtg	Body Tracers/Hybrids
Antispin vs Inspin	5	Both poi spin in the same direction and meet up on the left and right, but the hands move in opposite directions.	Focus on getting the east and west cardinal lined up										4 Petal Antispin	Inspins		https://www.youtube.com/embed/8W_ItMrDKMg	Flowers/Hybrids
Grandfather Clock	5	A sequence of pendulums that don't require you to move your hand	Align both pendulums such that they create a straight line				makeitxquick	https://www.youtube.com/watch?v=uylPJT8arAE					Pendulum			no video yet	Pendulums
Tick Tock	6	A combination of pendulums and parts of antispins	If you are comfortable with pendulums, focus on the timing and try to get the top pendulum in sync				Playpoi	https://www.youtube.com/watch?v=utSSvlKZF6s					Pendulum			https://www.youtube.com/embed/xGtoY3UTZRI	Pendulums
Orbital	6	Both poi tangle and are pulled to create a fast spinning buzzsaw	The point at which the strings tangle should be the same distance from the poi/handle	If you look at orbitals/ airwraps/ hyperloops from the side, you will notice that the poi paths arent parallel. One poi is slightly skewed so that theres a greater chance of the poi being able to cross paths and initiate the tangle.			AquaThane	https://www.youtube.com/watch?v=XejbtMTQXqM	Drexfactor (1 min)	https://www.youtube.com/watch?v=1GT6trTGpUE			Airwrap			https://www.youtube.com/embed/sfg_u16tl-o	Wraps
Airwrap	6	Both poi tangle and untangle in wall plane	The point at which the strings tangle should be the same distance from the poi/handle	Don't try to force the untangle; if your planes are correct, they should untangle automatically			Drexfactor	https://www.youtube.com/watch?v=UDOie_uC6dg	Playpoi	https://www.youtube.com/watch?v=gb2m3AAFdw0			Orbital	Hyperloop		https://www.youtube.com/embed/zy8fb5pU-eQ	Wraps
Meltdown	6	A weave that involves spinning poi behind the back	This move requires a lot of practice with each hand separately	Try keeping one poi spin behind you in wall plane without hitting anything	You will hit yourself less if you turn your torso more		Drexfactor	https://www.youtube.com/watch?v=0Og8JfEfbQ0								https://www.youtube.com/embed/EfPg-9AuMnk	Weaves
Snake	6	A body tracer behind your back, along the arm	It may be difficult to contort your body but try to get the poi in same time to make the move look clean				Drexfactor	https://www.youtube.com/watch?v=8l4LU2BP4MA					The G			https://www.youtube.com/embed/YNwTdhux78A	Body Tracers
Triquetra vs Pendulum	6	A mercedes (triquetra) done along with a pendulum instead of an extension	Align the pendulum such that it creates a straight line with the top petal of the triquetra				Drexfactor	https://www.youtube.com/watch?v=NCXQtUrdc44	Drexfactor (1 min)	https://www.youtube.com/watch?v=v0UDglF4Tz0			Triquetra	Pendulum		https://www.youtube.com/embed/hHKK0I570C4	Flowers/Hybrids
Crosser Frontals	6	Two antispin flowers spinning in the same direction that cross over and extend back	Much of the difficulty from this move comes from the potential of the poi hitting each other or tangling. Note that the poi should be on slightly different wall planes	Each hand performs a complete antispin before extending back.			Drexfactor	https://www.youtube.com/watch?v=xt_HGQHNWaA					4 Petal Antispin	Butterfly Crosser Frontals		https://www.youtube.com/embed/dr0_L1g8oac	Flowers
Butterfly Crosser Frontals	6	Two antispin flowers spinning in opposite directions that alternate extensions	Practice each hand separately. It is important that you can do at least one hand without thinking so you can focus on the other.				Drexfactor	https://www.youtube.com/watch?v=9A2JemHsSOg					4 Petal Antispin	Crosser Frontals		https://www.youtube.com/embed/BkXDL52MU0A	Flowers
Triquetra vs Static Spin	6	Triquetras that follow the hand path of a static spin	You need to be comfortable with performing extremely fast triquetras	 The static spinning poi follows the same path as the triquetra arm (both the arm and the poi should be right next to each other)			Drexfactor	https://www.youtube.com/watch?v=FKseM3H9dH4					Triquetra			https://www.youtube.com/embed/q6S3D-gyyCw	Flowers/Hybrids
Hyperloop	7	An extended airwrap	The point at which the strings tangle should be the same distance from the poi/handle	You can sustain the tangle by rotating your arms in the same direction the poi are moving	If you spin slower than normal, the extry + exit motion becomes easier to process (it usually happens p fast)		Playpoi	https://www.youtube.com/watch?v=Bq8AuO1feUE	Drexfactor (1 min)	https://www.youtube.com/watch?v=tsu2cPelfmw			Airwrap			https://www.youtube.com/embed/mnY9EV99zt0	Wraps
CAP Snake	7	A normal C CAP, but with a snake variant instead of an extension	If you are familiar with other body tracers such as snakes, this move combines a simple body tracer with a CAP				Ashlee Galliford	https://www.youtube.com/watch?v=-dIoaMq1gHg					Snake	C Caps		https://www.youtube.com/embed/ThjFDFMfzIE	Flowers
Nevisoul	7	An antispin inspin hybrid, with parts of it behind the body	Both the antispin and inspin are performed behind you at the same time at a point in the move. Get comfortable with performing flowers behind you!	Dont be afraid to extend your arms up + out as much as possible to make sure both flowers dont hit each other. Also find a big area with a tall ceiling to practice this move.			Drexfactor (1 min)	https://www.youtube.com/watch?v=yDFER8azNa8					4 Petal Antispin	Inspins		https://www.youtube.com/embed/IeamCFiBbyk	Body Tracers/Flowers
Cateye	7	A one petal vertical flower	Your hand should follow the path of a static spin				Drexfactor	https://www.youtube.com/watch?v=eTWJ8Msh73Y					Horizontal Cateye			no video yet	Flowers
8 Step Cap	8	A form of a CAP that goes through each C CAP for each cardinal	Practice each CAP (northern, eastern, western, and southern) separately	One hand performs a normal 4 petal antispin while the other focuses on CAPs			ChristinaSays	https://www.youtube.com/watch?v=iTcWCxs1WtE	Drexfactor (1 min)	https://www.youtube.com/watch?v=dBn6kz_7huc			C Caps	Butterfly Crosser Frontals		https://www.youtube.com/embed/SvPMwbEv4tA	Flowers
Zans Diamond	8	Both poi spin in opposite directions and make a zigzag pattern crossing each cardinal	Practice antispins with varying speeds				Zan00	https://www.youtube.com/watch?v=QhWo4cLj184	Drexfactor	https://www.youtube.com/watch?v=-4cDS45kNJw			4 Petal Antispin			no video yet	Flowers
Split Opposite Zans Diamond	8	Both hands spin in opposite directions and form a northern and southern triangle	You need to be very comfortable with antispins to be able to be able to perform this move				Drexfactor	https://www.youtube.com/watch?v=-4cDS45kNJw					4 Petal Antispin			https://www.youtube.com/embed/pt0vAq3aR4s	Flowers
Isolation	8	The rotation of the poi such that the hand follows the path of the poi. Looks like a static spin, but is significantly harder.	Your hand and poi should both be rotating about a center point				Drexfactor	https://www.youtube.com/watch?v=2GZACQink24								https://www.youtube.com/embed/Hg_s2FCxXIg	Other
Horizontal Cateye	8	A one petal horizontal flower	This move is much more difficult that cateyes because of gravity is actively working against you	Your hand should follow the path of a static spin			Drexfactor (1 min)	https://www.youtube.com/watch?v=s7UK--_tpwY					Cateye			https://youtu.be/T9igQcamvi0	Flowers
staffing	
2 beat	2	One of the basic moves; the staff makes 2 down beats on each side of the arm. Has both forward and reverse directions.	Count each time an end of the staff passes your arm; there should be two consecutive passes on each side of the arm	Divide the move into 4 postitions: (thumb end inside far/pinky end outside close)/(thumb end inside close/pinky end outside far)/(thumb end outside far/pinky end inside close)/(thumb end outside close pinky end inside far)	Keep your arm as straight as possible so that you don't hit yourself.								Flares	Vitruvian	Pinwheel	https://www.youtube.com/embed/DlPKIKAaELw	Wrist Rotation
3 beat	3	The other basic move; the staff makes three down beats on each side of the body.	Curl the staff so it can lie flat on your palm and forearm; once in this position/move the staff to a vertical position	Move your shoulder back/and uncurl the staff until your hand is fist down and palm facing out	Twist your body in order to bring the pinky end of the staff to the front of your body first/then repeat from beginning								CAPs	Basic Toss	Around the World	https://www.youtube.com/embed/QAUqZUhJrRs	Arm Movement/Wrist Rotation
Around the World	4	This move passes the staff around the body with 3 beat.	Practice 3 beat on both left and right hands. This move uses 3 beat to transition between the front and the back of the body	Practice passing separately; get into the motion of passing an object around your body	Don't think of it as passing it to your other hand think of it as handing to it mid rotation.								Basic Tosses	Pinwheel		https://www.youtube.com/embed/kI_LpMCEbHU	Arm Movement/Wrist Rotation
Flares	4	Transitioning between forward and reverse 2 beat on each side of the body	Try to exaggerate the transition at first; instead of going directly across the body/draw a circle with the tip of the staff.	Start transitioning when your palm is facing up.	When starting out fully pivoting on your toes to exagerate the position helps. As you become more comfortable with the movement stop pivoting to make it look smoother								Circles			https://www.youtube.com/embed/6v2K3ZQB420	Arm Movement/Wrist Rotation
CAPs	3	On the side of the body; staff spins up and down	It's literally the second half of 3 beat; instead of curling it up in front of your body/curl it up and down at the side of your body	Focus on the positioning of your elbows so the roation of the staff doesn't hit your inner arm and stop. Make sure the staff passes your forearm on the indised of your body.	For a cleaner looking cap, learn how to stop your staff when it's perfectly vertical. A fast movement into a stiff vertical position is ideal.								Around the World			https://www.youtube.com/embed/xAnblyitE6o	Wrist Rotation/Isolation
Circles	6	A 2 beat while the arm moves in a circle	Start 2 beat first/when comfortable/start moving the arm in the same direction the staff is spinning	Try to keep the speed of both the arm and the staff steady	Make sure to extend your arms wide for a decently sized circle. Exaggerate the width as much as you can, but make sure that you don't forgoe technique as a result!								Flares			https://www.youtube.com/embed/MD7EFwfWto0	Arm Movement/Wrist Rotation
Pinwheel	3	A pinwheel but the pass in front is above your head	Instead of completing the 3 beat/use CAPs to bring the staff above your head/then use 2 beat to pass between your hands	This movement should be very fluid to give the illusion of undisturbed rotation. Practice fluidity before practicing speed.	While learning this move by stopping for a second when you reach the top is good to get the movement down, when doing this movement in shows you want to eliminate that pause as much as possible. It helps to loosen your grip slightly or move your arm with the staff as it continues down the pinwheel.								Helicopter			https://www.youtube.com/embed/jTGx_bnmiAc	Arm Movement/Wrist Rotation
Helicopter	4	Spinning a staff on an open palm horizontally over your head	Looking up at your hand may help it be more horizontal.	Try to balance it for as long as you can by tilting your palm back and forth.	Speed actually helps with balance in this case. A faster spinning staff is easier to balance because it's carrying its own weight a little bit when it's spinning faster. 								Pinwheel			https://www.youtube.com/embed/7HxlXewWvhI	Wrist Rotation
1 beat	1	One down beat on each side of the arm	Each end of the staff does not pass to the other side of the arm; each end of the staff stays on its side of the arm.	Basically pen spinning/except its with a 3ft long stick and your arm	The wrist is more important in this movement than the arm. It's actually a great move to do if you're aiming to increase wrist fluidity and speed. 								Corkscrew	Windmill		https://www.youtube.com/embed/r7Q-RaDR5zw	Wrist Rotation
Corkscrew	2	A horizontal 1 beat	Make sure the ends of the staff don't cross your arm.	Keep your wrist loose, that's the primary location of movement. 	This is another great move to practice when aiming to increase wrist fluidity and improve planes with your wrist.								Corkscrew Toss			https://www.youtube.com/embed/rG3JiAhWe4w	Wrist Rotation
Windmill	2	A 1 beat around your head	One end of the staff should pass in front of your head/and the other end should pass behind your head.	Move your hand back and forth instead of your head.	To get used to contorting your arm the way you need to, start by placing your hand near the end of the staff you're spinning from. That way, the staff becomes more like a string and your arm can perform the contortion easier. From there, move your hand closer to the middle of the staff as you get used to it.								Vitruvian			https://www.youtube.com/embed/nVgpGryazg0	Wrist Rotation
Vitruvian	2	A windmill but you extend out.	Extend your arm as much as possible.	This movement looks best with large, emphasized circles, much like the stringing version of this move, so don't forget that when you're performing.	Placing your hand a little farther away from the center of the staff helps a little bit with this.								Double Vitruvian			https://www.youtube.com/embed/Fp1J8cyPtbs	Arm Movement/Wrist Rotation
Basic Toss	4	Throw a staff in the air while it spins parallel to your body	Enter from 3 beat; wait until the staff is parallel to the ground/then push upwards	Don't just flick your hand because it'll make the staff spin faster but it won't go as high	The wrist controls the spin, while the arm controls the height. It's a good combination of the two that gets you clean tosses.								Corkscrew Toss	Under Leg Toss	The Big Yeet	https://www.youtube.com/embed/Ox9peZ8X644	Tossing
Corkscrew Toss	5	Throw a staff in the air from corkscrew	Start in corkscrew; when your palm is facing up/push upwards.	Just like a regular toss, your arm controls the height while your wrist controls the spins. Keeping the two in balance will get you a successful toss and easy catch.	Again, keep your wrist loose for fluidity.								Basic Toss	Corkscrew		https://www.youtube.com/embed/GUZm-ydPXww	Wrist Rotation/Tossing
Under Leg Toss	7	A pass under your leg into a toss	A regular toss/except you spin the staff under your leg and then toss	Don't over-complicate this move. It really is just a toss from under your leg. The same technique applies, just lift your leg in the process.									Basic Toss			https://www.youtube.com/embed/z6qjcLsy9pQ	Tossing
The Big Yeet	10	Yeet the staff across a large distance to another person	Synchronize with your partner and hope for the best	You need to not only be in sync with your partner to the T if you hope to pull this off, but you need to practicing positioning, spacing, and toss height. Everything a good staff tossed does well is essential to pulling off this move.	This move is the definition of "high risk, high reward." That being said, you're going to want this move to take center stage when you do it in a set, otherwise there isn't a point in risking so much for it.								Basic Toss			https://www.youtube.com/embed/pnFnXGZZlk0	Tossing
5 beat	5	Similar to 3 beat/but it goes over your shoulder.	Your elbow draws a circle over your shoulder.										`			https://www.youtube.com/embed/cgeMRWXHpKE	Arm Movement/Wrist Rotation
Hand Rolls	1	The staff rolls over your hand.	Have your thumb under the staff and use it to flick the staff over your hand.										Around the World			https://www.youtube.com/embed/9O-d5_t8LFk	Contact Staffing
4 Petal Antispin	5	Antispin where the ends of the staff point to 4 distinct points	Make sure the end of the staff actually stops at each point.	The thumb end makes a horizontal line/while the pinky end makes a vertical line									Frontals	Scissors		https://www.youtube.com/embed/liWwYFRsDAU	Isolation/Arm Movement
Double 5 beat	8	5 beat/except with two hands/split time	Practice 5 beat on both hands/then combine										5 beat			https://www.youtube.com/embed/a_VWW_WSlx4	Double Staffing/Wrist Rotation/Arm Movement
Double Vitruvian	6	Vitruvian/except with two hands	Practice vitruvian on both hands/and both directions. 	Double Vitruvian can be both split time and same time/as well as going in both directions									Vitruvian			https://www.youtube.com/embed/bnvOseSB_sM	Double Staffing/Wrist Rotation/Arm Movement
Frontals	7	A staffing emulation of stringing frontals	They are split time opposite 4-petal antispins/so work on those first	As both hands have the same amount of beats/try to synchronize the beats									4 Petal Antispin			https://www.youtube.com/embed/ia9_2nRKGoo	Double Staffing/Isolation/Arm Movement
Choo Choo	4	The tip of one staff drags the tip of the other staff around the head/and vice versa at the waist	Practice doing windmill and 1 beat on the wall plane at your hip	Do it slowly and keep the connecting tips in as close proximity as possible									Windmill	1 beat	Vitruvian	https://www.youtube.com/embed/orOxqNUzYuY	Double Staffing/Isolation/Arm Movement
Isolations	7	The staff spins around a fixed/central point	This move can be done both pinky or thumb end in/whichever way is more comfortable	Keep your focus on the position that you want the staff to circle around									Flares			https://www.youtube.com/embed/FTEOd-_voYE	Isolation
Chase the Sun/Moon	7	A staffing emulation of stringing Chase the Sun/Moon	The arm behind your body does a 3 beat while the arm in front of your body does a 2 beat	Essentially/this is a pair of modified Vitruvians spinning synchronously									Vitruvian	3 beat	2 beat	https://www.youtube.com/embed/AezhR21dGUY	Double Staffing/Wrist Rotation/Arm Movement
No Beat Toss	6	A staffing emulation of stringing No Beat	Hold on to the end of the staff and spin them so they are opposite to each other	When your arms are going to cross/toss the staff in the hand that is approaching from the bottom/then move that hand on top and catch the same end of the staff												https://www.youtube.com/embed/ey0hKktzI5k	Tossing
Scissors	7	Same time opposite 4 beat antispins	The thumb end of the staffs are always nearly touching each other										4 Petal Antispin			no video yet	Other
Spin Toss	9	Toss the staff, spin yourself quickly, then catch the staff.	The key here is to spin in the same direction you're throwing the staff. In other words, don't toss the staff from your right hand, then spin towards the left. Spin in the direction of the arm you toss from, that way you and the staff are spinning together	A decently sized toss is needed to pull this move off. Give yourself time to spin completely, then stop and balance yourself before you catch your toss.	Toss as STRAIGHT in the air as possible, and spin as tightly as you can so you don't wander away from your original position.												
whipping	
Leg Lacing	3	Essentially a lace around the leg	You are essentially taking a body lace and transferring to a leg, your hand movements stay the same or similar! Don't overthink it	Once you have learned your torso and leg lace, practice transitioning to and from both. 	You can perform this move on one or both legs		StuyFlow	https://youtu.be/N4U-1Apvpd8?t=1363	Fiberflies	https://youtu.be/gg3tucQ-S24						https://www.youtube.com/embed/P8drbpbJG30	Body-Lacing
Cross Leg Lacing	3	A beginner transition from one leg to the other. Feels like you are weaving the whip back and forth. 	Remember the concept of the Open Torso Position, the Open Position can be used in any type of lacing move; when you are able to go to Open position, you will be able to move your hands and close on another body part to finish your transition!				Fiberflies	https://youtu.be/gg3tucQ-S24								https://www.youtube.com/embed/P8drbpbJG30	Body-Lacing
Elbow Lacing	1	A beginner move which is mostly used as a transition around the body in which you lace the whip up your arm and around the elbow.	This is mainly used to transition from your torso lace to upper-body laces in a smooth manner				Fiberflies	https://youtu.be/Brg2U10vPXc								https://www.youtube.com/embed/D77Hp9WdR5g	Body-Lacing
Arm Lacing	1	Essentially a lace around the arm	This move looks good if you continously lace while moving your arm around your body, otherwise it is mainly used as a transition.	To avoid tangling your whip, make your circles large												no video yet	Body-Lacing
Neck Lacing	5	Essentially a lace around the neck.	To make this move look snazzier, we usually use the elbow lace to transition into the neck lace and raise our elbows again to transition out of this move.	This move can easily get caught in neck sweat and can chafe your skin so it helps to protect your neck. 			Fiberflies	https://youtu.be/Brg2U10vPXc								https://www.youtube.com/embed/yOvX2CIGtWw	Body-Lacing
Khandys Hoe Drop	5	Slowly squat down with knees outwards and wrap from right knee to left knee (or vice versa)	Release your inner Khandy. 	Maintain a wide squat (if you're comfortable with it!) 			StuyFlow	https://youtu.be/N4U-1Apvpd8?t=1409								https://www.youtube.com/embed/ie07VbosEyI	Body-Lacing
