2 beat	1	A simple weave, with each poi doing one downbeat on opposite sides of the body	Try to keep the poi perpendicular to the floor and parallel to the sides of your body	As you get more comfortable, try to spin slower	It is encouraged to learn both the "left hand over" & "right hand over" variations (refer to video)	Dont be afraid to exaggerate your arm movements as much as possible so you dont hit yourself when the poi crosses to the other side (applies to all other weaves and n beat moves)	Drexfactor	https://youtu.be/hanrZuOio5c					3 beat	Buzzsaw		a	None
Chase the Sun	2	A combination of a hip and shoulder reel turns	Both poi should be in same time (downbeats are at the same time)	Be comfortable with reel turns			Playpoi	https://www.youtube.com/watch?v=Pr0BIlceb6g	Drexfactor	https://www.youtube.com/watch?v=h2CChcNsPRI			Reel Turns			https://www.youtube.com/embed/ZSiCvkz9FDk	None
Bicep Wrap	2	A wrap that hits the bicep	Make sure that your arm is bent perpendicular to your body (not outwards)				AquaThane	https://www.youtube.com/watch?v=-ug9tZ-Ovbc					Chicken Wrap			https://www.youtube.com/embed/_K2udk_ukk8	None
Shin Wrap	2	A wrap that hits the shin	Balance. Goes well with a side of chicken (wrap)!				AquaThane	https://www.youtube.com/watch?v=-ug9tZ-Ovbc					Forearm Wrap	Chicken Wrap		https://www.youtube.com/embed/xI9600BhynM	None
Fountain	3	A combination of the forward and reverse 3 beat and windmill	A difficult part of this move is the transition from r3b to windmill. If you end your r3b in front of you, the windmill should start behind you and vice versa.	Spend as much time as you need at each section of the fountain. You can always cut down how long you spend at each part as you get more comfortable.			Playpoi	https://www.youtube.com/watch?v=_obl7KD8YSI	Drexfactor	https://www.youtube.com/watch?v=MifXKbEEo34			3 beat	Reverse 3 beat	Windmill	https://www.youtube.com/embed/m8QkB0bytUw	None
Spiral Wrap	3	A wrap where both poi converge around the hands	Both poi should be spinning in the same direction with wall planes bent slightly inward	When entering a spiral wrap, let go of the string between your fingertips so it can naturally wrap around your hands			Drexfactor	https://www.youtube.com/watch?v=FjBYYRpXcQk	Drexfactor (1 min)	https://www.youtube.com/watch?v=R27tB71M9mY	Playpoi	https://www.youtube.com/watch?v=LxuBF2iZuv4				https://www.youtube.com/embed/kfCzNoaQN4Q	None
Chicken Wrap	3	A wrap that hits the tricep behind the body	Shove your arm behind you (pretend you are elbowing someone) and wrap on your tricep)										Bicep Wrap			https://www.youtube.com/embed/LnIQqCLgagY	None
Pendulum	3	A movement with poi that restricts movement to the bottom half of the spin	This move is relatively simple, but takes a lot of practice to clean. Keep the pendulums as controlled as you can.	swing swong			Drexfactor	https://www.youtube.com/watch?v=vB6D8wsjTNg								https://www.youtube.com/embed/gZSBv4-6fEo	None
Frontals	4	A 3 petal antispin flower done with each hand, pointed outwards from the center	Frontals are a two downbeat move. If you count when the poi faces downwards (6 o'clock) you should be able to count 2 per cycle.	Frontals are one of the first moves people learn that allow them to practice against a wall; if you do so managing planes becomes way easier.			Drexfactor	https://www.youtube.com/watch?v=B_xvSXlbSaw&feature=youtu.be&t=233								https://www.youtube.com/embed/QoF94JGJqHo	None
Sun Wrap	4	A combination of both hands doing bicep wraps on top of the arms	Your arms must be perpendicular to your body when performing bicep wraps can VB vn	Most of the movement comes from the wrists so focus on wrist movement			LilRaverBoi308	https://www.youtube.com/watch?v=EVEb5Qzpsmc					Bicep Wrap	Moon Wrap		https://www.youtube.com/embed/cyqUyPJNzYk	None
Moon Wrap	4	A combination of both hands doing bicep wraps below the arms	Your arms must be perpendicular to your body when performing bicep wraps	Most of the movement comes from the wrists so focus on wrist movement			LilRaverBoi308	https://www.youtube.com/watch?v=EVEb5Qzpsmc					Bicep Wrap	Sun Wrap		https://www.youtube.com/embed/GLQ-6sW2EY8	None
Crossers	4	A figure 8 drawn with crossed arms in wall plane	Both hands are each doing a two beat but are on opposite sides of the body	Each poi should alternate between being in front of your body and behind	Practice with one poi wrapped in your hand at a time		Drexfactor (Part 1)	https://www.youtube.com/watch?v=-a-Qs5g8Sq8	Drexfactor (Part 2)	https://www.youtube.com/watch?v=ZN2HdyXzJvs	Drexfactor (Part 3)	https://www.youtube.com/watch?v=27fWgqbgv5o	Crosser Extension			https://www.youtube.com/embed/d7nqk4yri9Q	None
Inspins	4	A two petal flower where the direction of spin of the poi is the same as the movement of the arm	Both "spins" within the inspin should be on a cardinal. Keep the spins controlled!				Drexfactor	https://youtu.be/4_x8W5HQnbs					4 Petal Antispin			https://www.youtube.com/embed/gbs7rOfYqds	None
Crosser Extension	5	Crossers, but with the front beats opened up (similar to vitruvian)	Both of your arms at some point should be full extended, with the other bent.	Each arm should alternate tracing the other arm			Alien Jon	https://www.youtube.com/watch?v=C_Mbmq3jFNg					Crossers			https://www.youtube.com/embed/yShTd17WasQ	None
Triquetra	5	A 3 petal antispin flower hybrid with an extension	Draw an equilateral triangle with your hand and make sure to accentuate the top petal	Focus on always having equidistance from your belly button to either bottom petal. At first, it will result in smaller triquetras, but when you are more comfortable you can increase the size of the pattern.			Drexfactor	https://www.youtube.com/watch?v=ffKbIDxbxdk								https://www.youtube.com/embed/fy_5cj2W7s8	None
4 Petal Antispin	5	A 4 petal antispin flower that hits each cardinal direction	The most important part of this move is to make sure that each cardinal direction is properly aligned	It may help to practice in front of a mirror	4 petal antispins have 3 downbeats, similar to how a triquetra has 2 downbeats. You should be able to count 3 times when the poi head points downwards		Drexfactor	https://www.youtube.com/watch?v=Wp5XkJ3vxQQ								https://www.youtube.com/embed/lHOxPvzXEdo	None
4x4 Antispin Fountain	5	A fountain similar to a regular 4x4 fountain but backward	There is only one beat for each hand per cardinal direction	imagine alternating between forward and reverse 2 beat weaves, except you change the levels of your hands 	If your doing this move correctly your hands will alternate between right and left on top when you pass through the middle 		Playpoi	https://www.youtube.com/watch?v=oy25T6cJDY0					Fountain	4 Petal Antispin		https://www.youtube.com/embed/uDEmyekcWPg	None
C Caps	5	A combination of half an antispin and an extension	Pretend you are only doing half of an antispin and do an extension back to where your hand started	Bend your arms slightly 			Drexfactor	https://www.youtube.com/watch?v=vHS_W2BLri8					4 Petal Antispin			https://www.youtube.com/embed/HLtDoWLTeC4	None
The G	5	A body tracer combining parts of a snake and an extension	This hard part of this move is the same as the movement for a snake. If you are having trouble with this move, try learning the snake first.	Each hand should be alternating cycles (one hand tucks in front of you while the other tucks behind you)			Drexfactor	https://www.youtube.com/watch?v=cDcysRoBkP8					Snake			https://www.youtube.com/embed/63SKPRbqmtg	None
Antispin vs Inspin	5	Both poi spin in the same direction and meet up on the left and right, but the hands move in opposite directions.	Focus on getting the east and west cardinal lined up										4 Petal Antispin	Inspins		https://www.youtube.com/embed/8W_ItMrDKMg	None
Grandfather Clock	5	A sequence of pendulums that don't require you to move your hand	Align both pendulums such that they create a straight line				makeitxquick	https://www.youtube.com/watch?v=uylPJT8arAE					Pendulum			a	None
Tick Tock	6	A combination of pendulums and parts of antispins	If you are comfortable with pendulums, focus on the timing and try to get the top pendulum in sync				Playpoi	https://www.youtube.com/watch?v=utSSvlKZF6s					Pendulum			https://www.youtube.com/embed/xGtoY3UTZRI	None
Orbital	6	Both poi tangle and are pulled to create a fast spinning buzzsaw	The point at which the strings tangle should be the same distance from the poi/handle	If you look at orbitals/ airwraps/ hyperloops from the side, you will notice that the poi paths arent parallel. One poi is slightly skewed so that theres a greater chance of the poi being able to cross paths and initiate the tangle.			AquaThane	https://www.youtube.com/watch?v=XejbtMTQXqM	Drexfactor (1 min)	https://www.youtube.com/watch?v=1GT6trTGpUE			Airwrap			https://www.youtube.com/embed/sfg_u16tl-o	None
Airwrap	6	Both poi tangle and untangle in wall plane	The point at which the strings tangle should be the same distance from the poi/handle	Don't try to force the untangle; if your planes are correct, they should untangle automatically			Drexfactor	https://www.youtube.com/watch?v=UDOie_uC6dg	Playpoi	https://www.youtube.com/watch?v=gb2m3AAFdw0			Orbital	Hyperloop		https://www.youtube.com/embed/zy8fb5pU-eQ	None
Meltdown	6	A weave that involves spinning poi behind the back	This move requires a lot of practice with each hand separately	Try keeping one poi spin behind you in wall plane without hitting anything	You will hit yourself less if you turn your torso more		Drexfactor	https://www.youtube.com/watch?v=0Og8JfEfbQ0								https://www.youtube.com/embed/EfPg-9AuMnk	None
Snake	6	A body tracer behind your back, along the arm	It may be difficult to contort your body but try to get the poi in same time to make the move look clean				Drexfactor	https://www.youtube.com/watch?v=8l4LU2BP4MA					The G			https://www.youtube.com/embed/YNwTdhux78A	None
Triquetra vs Pendulum	6	A mercedes (triquetra) done along with a pendulum instead of an extension	Align the pendulum such that it creates a straight line with the top petal of the triquetra				Drexfactor	https://www.youtube.com/watch?v=NCXQtUrdc44	Drexfactor (1 min)	https://www.youtube.com/watch?v=v0UDglF4Tz0			Triquetra	Pendulum		https://www.youtube.com/embed/hHKK0I570C4	None
Crosser Frontals	6	Two antispin flowers spinning in the same direction that cross over and extend back	Much of the difficulty from this move comes from the potential of the poi hitting each other or tangling. Note that the poi should be on slightly different wall planes	Each hand performs a complete antispin before extending back.			Drexfactor	https://www.youtube.com/watch?v=xt_HGQHNWaA					4 Petal Antispin	Butterfly Crosser Frontals		https://www.youtube.com/embed/dr0_L1g8oac	None
Butterfly Crosser Frontals	6	Two antispin flowers spinning in opposite directions that alternate extensions	Practice each hand separately. It is important that you can do at least one hand without thinking so you can focus on the other.				Drexfactor	https://www.youtube.com/watch?v=9A2JemHsSOg					4 Petal Antispin	Crosser Frontals		https://www.youtube.com/embed/BkXDL52MU0A	None
Triquetra vs Static Spin	6	Triquetras that follow the hand path of a static spin	You need to be comfortable with performing extremely fast triquetras	 The static spinning poi follows the same path as the triquetra arm (both the arm and the poi should be right next to each other)			Drexfactor	https://www.youtube.com/watch?v=FKseM3H9dH4					Triquetra			https://www.youtube.com/embed/q6S3D-gyyCw	None
Hyperloop	7	An extended airwrap	The point at which the strings tangle should be the same distance from the poi/handle	You can sustain the tangle by rotating your arms in the same direction the poi are moving	If you spin slower than normal, the extry + exit motion becomes easier to process (it usually happens p fast)		Playpoi	https://www.youtube.com/watch?v=Bq8AuO1feUE	Drexfactor (1 min)	https://www.youtube.com/watch?v=tsu2cPelfmw			Airwrap			https://www.youtube.com/embed/mnY9EV99zt0	None
CAP Snake	7	A normal C CAP, but with a snake variant instead of an extension	If you are familiar with other body tracers such as snakes, this move combines a simple body tracer with a CAP				Ashlee Galliford	https://www.youtube.com/watch?v=-dIoaMq1gHg					Snake	C Caps		https://www.youtube.com/embed/ThjFDFMfzIE	None
Nevisoul	7	An antispin inspin hybrid, with parts of it behind the body	Both the antispin and inspin are performed behind you at the same time at a point in the move. Get comfortable with performing flowers behind you!	Dont be afraid to extend your arms up + out as much as possible to make sure both flowers dont hit each other. Also find a big area with a tall ceiling to practice this move.			Drexfactor (1 min)	https://www.youtube.com/watch?v=yDFER8azNa8					4 Petal Antispin	Inspins		https://www.youtube.com/embed/IeamCFiBbyk	None
Cateye	7	A one petal vertical flower	Your hand should follow the path of a static spin				Drexfactor	https://www.youtube.com/watch?v=eTWJ8Msh73Y					Horizontal Cateye			a	None
8 Step Cap	8	A form of a CAP that goes through each C CAP for each cardinal	Practice each CAP (northern, eastern, western, and southern) separately	One hand performs a normal 4 petal antispin while the other focuses on CAPs			ChristinaSays	https://www.youtube.com/watch?v=iTcWCxs1WtE	Drexfactor (1 min)	https://www.youtube.com/watch?v=dBn6kz_7huc			C Caps	Butterfly Crosser Frontals		https://www.youtube.com/embed/SvPMwbEv4tA	None
Zans Diamond	8	Both poi spin in opposite directions and make a zigzag pattern crossing each cardinal	Practice antispins with varying speeds				Zan00	https://www.youtube.com/watch?v=QhWo4cLj184	Drexfactor	https://www.youtube.com/watch?v=-4cDS45kNJw			4 Petal Antispin			a	None
Split Opposite Zans Diamond	8	Both hands spin in opposite directions and form a northern and southern triangle	You need to be very comfortable with antispins to be able to be able to perform this move				Drexfactor	https://www.youtube.com/watch?v=-4cDS45kNJw					4 Petal Antispin			https://www.youtube.com/embed/pt0vAq3aR4s	None
Isolation	8	The rotation of the poi such that the hand follows the path of the poi. Looks like a static spin, but is significantly harder.	Your hand and poi should both be rotating about a center point				Drexfactor	https://www.youtube.com/watch?v=2GZACQink24								https://www.youtube.com/embed/Hg_s2FCxXIg	None
Horizontal Cateye	8	A one petal horizontal flower	This move is much more difficult that cateyes because of gravity is actively working against you	Your hand should follow the path of a static spin			Drexfactor (1 min)	https://www.youtube.com/watch?v=s7UK--_tpwY					Cateye			https://youtu.be/T9igQcamvi0	None
